,review_id,user_id,business_id,stars,useful,funny,cool,text,date
21,TeX0eOIeZb_wpo86rCedXQ,RR-2nouBn408e3djxC470g,d4qwVw4PcN-_2mK2o1Ro1g,5,0,0,0,Holy heck this place is amazing. I love their chicken tacos they're by far my favorite. Great customer service and all round awesome experience.,2/9/2017 4:25
23,vZvF9HpLUmP3dKUYqv7HHw,2Fi20wCPWrWWvuKDssePeA,veQpiduzq83yYc0jQzCIPQ,5,0,0,0,I love the classes at this gym. Zumba and. Radio Hip Hop are my favorite. This is such a great fun and I love that it is so reasonably priced!,5/13/2017 5:19
28,K-wdPGHbErfxbKK6PetrmA,FCoXqPxuI7GRBYyzJIwVxw,r4HkiC71nB9k8Fe8zIORFQ,5,1,0,1,"First time eating there and everything was so yummy! Great pizza and Salad, my son had the meatball sub he said it was very good, must have been because he wouldn't share. Highly recommend.",12/5/2015 2:16
31,PTk6YHmk2U7X-A7Js-VtNA,bVwp0gnz3YxpJqSfXZrONg,YyxB3K1ORzc7ChMKgyxm9Q,5,0,0,0,The employees are so friendly and hard working! Keep it up! The store is very clean... I love subway sooooooooo much!!! :),10/27/2014 4:30
35,gbibui7sKs7QUTu5pF9TRw,B03NtjnS1Ca4vHPN4S8s-A,JHyv6TwbNfIcjpos8_espA,5,1,0,1,"This is a wonderful nail shop! Eric the owner is so hospitable, he takes time and effort on your nails to perfect them! I love my nails, they're so cute and symmetrical. Definitely will be coming back to this spa and salon! If you're thinking about going, Don't even question it, just go!",7/28/2015 7:19
36,#NAME?,6UR0kNe3C-ivlF2x1fPHNQ,WUmosjOxt_8nWByHgm8Kkg,5,0,0,0,"Who knew?
 
I did! 

I remember eating many many many times way back in the early childhood of Chipotle back in Denver. Like the picture on the wall in every Chipotle. (yep on evans and university) I had a feeling this place was going somewhere and Chaching!

Anyway, long story short, as we all have eaten at a Chipolte somewhere. It simply is the best quick healthyish mexican there is period! 

On a side note if you are one of those wierd vegan people this is my favorite burrito (veggie fajita black w/ all the salsas no queso or crema greens and of course 3 lbs of guac!) Yuuuuuuuuuuuuummmmmmmmmaaaaaeeeeeee!!!!!",1/8/2011 23:13
39,Qee78a9rXvSfyVhCO9EK7A,NFebN50n-oXI7xgjP-Qixw,k1c_bC3DK6mKg797vH1T8w,5,0,0,0,"A very busy restaurant, make reservations, but well worth it.    Our party ordered the short ribs, salmon and steam bass for our main entrees and each dish was outstanding.   Will definitely go back to this restaurant when we are back in the Phoenix area.",3/18/2015 17:46
43,HftK8hqRDgmgchNLlpqJHQ,Arf9ddxVvO3PsmdZlPBDyA,YJ2Y_asLIlbo-uijVugLow,5,0,0,2,"As a spicy food fan, when I see a restaurant called Hot & Spicy, I add it to my must try list.

I decided to give Radica's a shot shortly after seeing the title of the restaurant. On first glance, the restaurant was super clean and new. A really nice environment for a fast food style joint! 
 
Between my fiance and I, we ordered two roti's - one spicy chicken and the other a medium goat roti. Oh boy, the roti's were awesome! Fresh, packed with flavor and actually spicy.  Portions were huge as well! 

We also tried a shrimp double. This was my first time trying a double. It was ok, but the real star of the show was the roti's.

If you're looking for genuinely good roti with a kick of spice, I'd say this is the spot!",6/8/2015 18:24
45,a9bcki-Jt26TtUoNRGjQHg,4xIRICDNx33zPG-CYshTXQ,IhNASEZ3XnBHmuuVnWdIwA,5,0,0,1,"If you are looking for something refreshing and delicious, this is your one stop shop! I've tried two drinks here and their delicious Japanese styled crepe that was filled with nutella and mouthwatering strawberries and bananas. There are other options as well. Their drinks are very customizable and if you think it's not perfect even after you get it, you can get it adjusted. The service is super friendly and the aura is welcoming. It's a clean environment where all the senses are in for a treat though the mesmerizing smell from the freshly made crepes, the refreshing sip from their drinks, to the perfect texture of their boba. I'm not from the area but anytime I'm on my way to Vegas, I'm stopping by first to get my boba fix. 

Try the Hawaiian Paradise. You won't regret it.",7/16/2015 6:46
48,slmv7dEs9FD3KsdbywTHUw,Ir__fU1m6dBqgTrP3aLP9A,KalAJyO0Zpg3K1wVwYXBHA,5,1,0,0,"I have been coming to this sweet little place for years and think they deserve my compliments.
The food is french in a not too serious and snobbish way. 
The wine is best enjoyed outside in the evening overlooking the ""lake"". They have live music (jazz guitar or piano) outside in the evenings most nights as well. Probably,one of the more romantic night spots on the west side. 
They also have a fantastic lunch menu, with a lobster salad croissant that is true bliss..... mmmmmm....
Look them up for their specials, like wine tastings and discounted days.",5/20/2009 2:16
51,LzCJ5m9xbiSJElYfwufqqQ,rHC67vLw-_pwoGjmEn-iQA,u8CFMZ9rCMDvKGDyqt6MEQ,5,0,0,0,"If you are looking for a fresh yummy breakfast on the weekend in Waunakee you must try Cuco's. They have your traditional American breakfast choices or some tasty Mexican dishes. The food is fresh and comes out sizzling hot. 

The service is excellent and the restaurant is very clean.",5/13/2017 15:10
52,3tsmExxS5NYBgqVfl2JOyg,ica-FXNzyDzoOeArmg9Lwg,bM3ARXFMxGrntnHS6a7vEQ,5,0,0,0,"So I don't give out 5 stars frivolously, but this place deserves it. Everything I had (summer rolls, vegan pizza burger and chocolate chip cookies) was delicious. The service was great and the waitress helped me narrow down the never ending yummy looking options on the menu. They even gave me a smoothie sample while I waited.

Next time I'm in Cleveland, I'll definitely stop back in. I may even be coming for dinner today.",9/9/2014 18:06
55,39ukJIrbqD1Pk5V16B5weA,HLaSqQMDVvlcFPGJL_kGCA,VMPSdoBgJuyS9t_x_caTig,5,1,0,0,Easily my favorite place to eat in Madison.  Great Lao-Thai food.  Curries are fantastic and make sure to start with a soup.  They're always good.  Tip: place is tiny and you will wait.  Either get carry out or head across the street to the Weary Traveler to grab a beer while you wait for your table.,3/3/2005 19:49
57,IwlVSOnINIYnqRBjPrRDhQ,dZxXGlJtNwr9pag5UXCa4A,ACb637NG7EnswRs8U_BX_w,5,0,0,0,I travel lots for business and this is one of the funniest places.  Heather provided great service and NCAA B-BALL on the screens,3/15/2018 20:18
61,0geBkVBnj4p7l-7rwUuUCA,4CQ3ik_L4hTdIvm3XXlSvg,BmJdcOr-XOyM_Otc3wMraQ,5,0,0,0,Cleats is the best! Our daughter pitches and we have exchanged 2 sets of Mizuno metal cleats. Both were coming apart at the seams and they happily replaced them each time.  Great friendly and knowledgeable staff!  We buys all our softball gear from Cleats!,6/8/2015 19:30
62,2E-1IudsdLlrvR6-gP51og,dZudYQD1T2U5RSJeJWYCLw,kBJfBVaXJtPEKLTov1hJdQ,5,1,1,0,"When I'm Arizona...we Reathrey Sekong! 

Food is good and authentic! Would love if there was a closer location to Gilbert!",3/15/2018 19:48
64,PvgCQa3FsA-FXYQsaEguIw,LhZhxlOqTSuRY6r7HV6NVg,UOFTGqJ95xQxeYndG7hbbw,5,0,0,1,"I was staying at the Hilton next door and got access to the YMCA.  Nice!  One of the days, I woke up with a sore throat.  Headed to the gym anyways, but started coughing horribly just as I checked in.  Had to walk out to clear my throat then went back in and hopped on an elliptical machine.  The lady at the front desk was so nice!  She brought me a cup of water because she noticed that I was coughing so much earlier.  

Amazing service!  Now I wish I belonged to a YMCA back home.  Going to have to look into it for sure.",8/25/2011 0:49
66,2dYcxwdtulsUY8kj4oZezw,iAQFEArbXp1WUrseOFTLMA,gfhWUixZ4MmEAC1DtTsodA,5,0,0,0,GREAT SERVICE!! The food was amazing and very reasonably priced! Oh and the deserts are to die for!!,6/6/2017 21:04
68,a_4IN1krICioWWvDDgo0Mg,UniWikK9zPi-9PYgFpE01g,AVdo7XPlyRZ_pj5DVk1Yow,5,7,2,6,"Love the staff here! Becca, Chrissy, Angel and Arianna are so friendly and helpful! Super clean and professional place. Highly recommend coming here!",1/4/2015 0:12
71,Lm-Sy_QbFMRf8GbKjNxg6w,IZzkAUnRtJtw3tGNdZtrJg,V4sPxg8y29QDskQmMM1FIw,5,0,0,0,"This was my first time at this place and the shop was super clean. The staff was nice and helpful. Rose took care of me like a regular customer. If I lived in Vegas, I would come here all the time.",1/14/2017 21:03
75,A9Jeb8657LKTbvofHBBLMg,UIdROvjyMfhoKhJ-Giuxpw,rcaPajgKOJC2vo_l3xa42A,5,0,0,0,"I love Bouchon. It's still my favorite place to go hands down. They are extremly fresh and have excellent service. I ate at the bouchon in Beverly hills and didn't encounter a single difference in food quality in Vegas. The food has always been delicious and this one time I went we ordered practically everytihng. From the bakery basket in which the waiter chooses for us a selection of baked goods to the mussels to the hash. 

Everything was delicious. And you can't beat the price around 20-30 a person with small apps. Or aroudn 40-50 if your drinkin a little. Very reasonable for what your getting.

Take a peek at my photos.

Thanks Thomas Keller for a great meal again!",11/30/2011 0:51
81,ktOeQ7aup9FKFSnO_M1MOg,lq_DOs_38ctAKSzdE8gW4g,N6-dAWPTAaHqwRb94vXFCQ,5,1,0,0,"Their Homemade Lasagna was Great!
You've gotta try Rizzo's Spaghetti House.

Try out their other restaurant, located off Cherry Road in Rock Hill.",10/17/2015 1:05
82,Oh6EPfAybFt-2Q-gP_7Umg,gkw9tSW_DuxSvhKLES9ePQ,MNaPOkqm2vKeNG8EqkZWCg,5,3,1,2,By far my favorite Italian restaurant in Vegas. Pasta Luigi is the fastest they have! Also try the stuffed artichoke. It is one of the best of ever had,9/4/2013 1:42
88,#NAME?,Bf87HcPERF9yiSjb2tQBqw,LiE33AU9CAZooCyAXr957w,5,2,0,1,"Some cretin at a store swiped my credit card information while ringing me up and then charged 3,000 bucks worth of stuff on my Keybank debit card.  I was in Florida at the time on a long term assignment, hundreds of miles from a Keybank.  I discovered the fraudulent charges when I checked my balance just before leaving on a road trip.  I called the customer service number and within a few hours all my money was back in my account.  They canceled my number and sent me an all new card by FedEx which arrived the next day at my destination. They made the whole recovery process so easy.  Miss this bank, big time.",5/11/2005 5:05
89,5n7Ye0F9mS7r25rnRfPhZw,AVxQMKJsNvyNPbCJsinvYA,srHBs-NlG0upDlambkURbA,5,0,0,0,"Fast and friendly, always! They make sure your order is correct even when they are in a hurry. Always a great meal.",5/19/2018 0:32
90,eSmuw_7aCamAWhKdiZvzxw,owc3KFagSCE38eWTQ4CaRQ,PBmMvDows5HWIqrEVvNfQQ,5,0,0,0,"I tried chicken Shish kebab . Chicken is really juicy and really tasty . The atmosphere there is very Turkish style , love it . Definitely 5 stars .  Good place ever for coffee break , delicious deserts.",9/18/2016 15:43
91,eDBC5o8_28FMafDAeT1lJQ,omzXdnZFmB6irpf7jmTQWQ,XwJ6fZRVbxQYRsryy4-qDw,5,1,1,0,"I love the atmosphere ! Perfect for families ! Very welcoming to children , my sons a bit active && loves to touch the decorations but they're so patient && understanding . The food is filling , tasteful && excellent portions . Nd their hours are accommodating to all they're open late .",5/19/2016 5:03
93,WN8Mv-izludqkQrAFxmrhg,Jv7tTiEpkm4vSLzp7Ryb5w,zidkKI_N1OPxsiddTOQH_Q,5,0,0,0,Amazing staff and food everytime! Always so welcoming and the food is constantly awesome.,7/17/2018 1:33
94,oV2rbFWgjyk3ISZd50_u1A,mn0tWjJCIozGGg9EweGncg,TIXQ4Yo65ZJUTGiraWI7ug,5,0,0,0,They did a great job on my two Golden boys. They can be a handful at times but they came out looking great and what I considered a great price as well!  We will be coming back for sure in the future.,8/7/2017 19:35
97,6f8govVUNZf5Gi-UiRv7vA,ktZxmBGBEnWLyecg0X4uVw,6M5WG1Hp38dsYkK77S-bzQ,5,0,0,0,Amazing food and perfect location for any Luke AFB military personnel looking for some decent Asian cuisine. I'm going on my third lunch this week! The Chicken Teriyaki and ginger salad dressing is out of this world!,1/27/2017 18:48
99,_1cKUxp1Ii5yGj000S-RnQ,bolI1wtWAvn7tzEZ5k2UJw,lslPZKTjaG9vhfINJ9acFA,5,0,0,0,I'm traveling from out of town. It's amazing! Best massage I've ever had! Most definitely will be my new go-to place no need to look any further.,3/7/2016 1:15
100,vNHdIY_wU_btRuHK3HMCgQ,mXBkddhNdHjw4vRmo7X8Hg,XWxYHSld0T2TfANwt1KmqA,5,0,0,0,"We love Cafe Americano! We've been a couple times for lunch and have had Eric S. both times as our waiter. He was unbelievably attentive, kind, and efficient! The food both times was amazing. As with anything down at the Strip, the food can seem pricey, but the quality and the amount of food you get is worth every penny! My favorite thing is the Short Rib Nachos. Also love the atmosphere. Highly recommend for anyone that has a stomach and is in Las Vegas ;)",8/24/2018 0:20
102,x_AWd7i9NVCCynAyvk99VQ,U4INQZOPSUaj8hMjLlZ3KA,pKOy7-pP-BdSVcCrtQo_ww,5,3,0,1,"This is a review of Pliner's approach and style (truly original, but certainly ""not for everyone,) this location, and especially their sales person - Milijana, or Mia as she introduced herself.  Making my purchase on 12/18 during their holiday sale I literally tried on 25 pairs of shoes before making my final selection - a half-lacquered pair of black suede shoes unlike anything I've previously seen.

While the store did not have my size in stock, Mia brought me shoes made from the same mold and informed me that not only could the size I need (11) be mailed to my home, but it could be accomplished with no tax and free shipping since I lived in Ohio.

In retrospect I wish I'd have bought more pairs of shoes while I was there, but as it stands they've guaranteed I'll return on my next Vegas visit.",1/8/2011 22:46
103,k29ZobahoFGWPePsxd35Ng,YthHssImvAsOjE2AWWmg6w,6Cl15LapBVhw4ZfBIeVJJA,5,0,0,0,Absolutely delicious. Ordered chicken/beef kabob combo with spinach rice based on other reviews and not disappointed! The spinach samosa are also fantastic. My new favorite restaurant.,1/30/2016 3:24
109,smQpjjY8bu8Vl5VsOViiNQ,o6j8ZpiLIA2gwzaAsUHWpw,XSY26vVt9qvLh3SAECPzkg,5,2,0,1,"Disclaimer: this was our first experience there. 

Very friendly staff & nice ambiance. We got Wisconsin cheese, The Classic & Fundue Delight for our entrees & The Original for dessert. We chose Mojo for our cooking style. We had the Cesar & the Bacon & Bleu Spinach salads. I was a little unsure coming into it but the staff asked if we've been there & explained the process. We were warmed the portion sizes were small but we got full--guess it depends on your appetite. Everything was very good, even the apples with the cheese. I highly recommend this place. It's such a fun & different experience.",3/27/2017 1:09
114,V3kZd0O3EeVuTBCKOW-M4g,Eg_VTAQwK3CxYTORNRWd2g,4m_hApwQ054v3ue_OxFmGw,5,2,0,0,"Excellent food, service and ambiance! The tapas are truly infused with spanish flavours. 
We had the Octopus, Dates wrapped in Bacon and Figs with Goat Cheese, but if I have to pick a favourite it will be the Foie Gras ""sliders"", they were unbelievably tasty!! 
We had the 'Paella Patria' you could see the saffron, beautifully done. For dessert I ordered the Chocolate pudding, it was sublime, rich, decadent. Infused with olive oil and salt, it couldn't make me happier. Ohh I just can't wait to be back!!",2/21/2013 23:37
115,CO3G0edGWt47V1eJUTSXlw,aLqp_fe64ugZFuwMpsXLiw,XgRljuEUyaHBKIpIz-PRAA,5,2,0,1,"I can't believe I'm saying this, but I think I just ate the highest quality burger of my life at a place where you have to order at the counter and the burger only cost $9. 
I was immediately impressed upon ordering at Bang Bang Burgers. I ordered the hangover burger, and they not only asked how I wanted my burger (can choose from medium to well-done) but the worker even asked how runny I wanted the fried egg and then if I wanted it sunny side up or if they should flip it over easy. My buddy asked for mustard, and they even asked whether he wanted regular yellow, dijon, whole grain, or honey mustard. I added sweet potato fries for the $1 upcharge because I love sweet potato fries, paid my $10 and waited. I must say I was a little disappointed that I had to wait 15 minutes for the burger, but after first bite I had no more complaints!
I don't know what's in Pat LaFreida's beef mixture, but it was the highest quality beef in a burger I've ever ordered. The bun was ridiculously soft as well. The egg was cooked perfectly, but the burger lacked any flavor from the small slice of cheese or the bacon hash unfortunately. Despite that, the amazing quality still made this burger awesome. 
The sweet potato fries were by far the best sweet potato fries I've ever eaten, and I love sweet potato fries so that says a lot. They were crispy which so many places cannot accomplish and had a balance of sweetness from the fries and salt that was perfect. They came with a decent maple sauce, but I didn't dip very many because they were honestly better on their own. I must say, the bang bang sauce that comes on the side of the burgers is incredible though. It's similar to a Thousand Island dressing without the pickle relish, but something about it just makes it so much better and slightly sweeter. 
Overall, I probably wouldn't order the hangover again and would choose a more flavorful/interesting option. I would also recommend going with a double if you're hungry because each patty is only around 4 ounces. Despite these slight ""drawbacks"", the quality of the meat and bun stood out so much that I think any burger here would be amazing and for a pretty solid price as well.",6/8/2015 18:56
116,7waZ74cpeFi8Th_IdRcsag,x5bK_r_44IN2r-YqrHAE9w,Vw9u6qar1I2QlkQOV6KNVA,5,0,0,0,"I went for the second time yesterday, and it did not disappoint!!! I love their willingness to work with you on a dish to make it exactly as you want! Best Thai Food I have ever tried!",6/24/2013 5:03
117,bviGAY3LUNOcOFaI6f_HDA,1EADjPQ3-qu7DSQ_8mII2Q,hsDkxhc-_YYsVqAeQBJJjg,5,2,0,1,"I saw Big Jim's on Diners, Drive-ins and Dives. Went there when in Pittsburgh with my son visiting Pitt, had a great lunch. 
My son went to Pitt and I have been back several times. The food is very good, large servings and reasonably priced. This place will surprise you. It is off the beaten path. You have to be looking for it because it is below the highway in a neighborhood that leads nowhere to my knowledge. It is unattractive at best but the service is good, food is very good, fresh, plentiful and very reasonable. If you like good food, funky places and you are not a snob stop in and give it a try.",2/1/2012 6:25
119,c9VFCK3gXuNRvbC7lXfk1Q,oCFvgGH40QHc25qOUrpu3A,e13SEvJud_vgeDR_doL4sQ,5,1,1,1,"Absolutely love it!!.The most authentic and incredible Mexican food I've ever had in Las Vegas hands down!! The place is so beautiful and colorful. The food is sooo good.Their tacos are freaking amazing!! Everything is so exquisite and delicious. Will definitely be coming back here. Manager Chad was very attentive and stopped by a couple of times making sure we were having great time! Great suggestions, great atmosphere, very friendly and helpful staff! A+++",9/18/2016 18:37
120,MNQQgIKA85dqv2y7OZaTVg,xCzmYGX7p_55F_4l79cf4A,v9blKqAkFdEMusd6OaeRqw,5,0,0,0,"Sheila is AMAZING!! She did a great job on my nails, they look so natural. I give her 10stars!!
Definitely will be a repeat customer!",3/27/2017 2:52
122,zJc_P1A5z8FntKPLsK04cQ,Pvb59pY9rcZM5xo1quPbbA,eaNenRk_liZBERFFLCXqqQ,5,1,1,1,"The high quality Korean BBQ that started it all in Vegas...One of my favorite kbbq places in town.

Beef combo is usually what I go for and they will cook for you!

 Three things stands out the most for me. 
1. Skirt steak
2. Aged short ribs
3. Ice cream that comes with the combo

Come hungry and give it a try!",8/24/2018 0:08
123,Z5ZyjaOtBjWGJ6eT0AHqxg,lkUZqtZFPDXwdCO5EKdgHw,KWojrEKjUqHCRI5HO7pB4g,5,1,1,1,"After my scathing review of the Perez Museum in Miami, I thought I better balance things out by telling you about the AGO, which (I feel) is an example of how to do things right. Had lunch at Frank (on site restaurant), which was quite chic and the food was delightful, but a wee bit spendy.
The gallery itself is beautiful and interesting. I've been twice in the past 6 months (to see the Turner exhibit and the Lawren Harris exhibit), and have been impressed by both the special exhibits and the regular collections. The special collections are an additional fee, but in both cases, well worth it. 
The gallery is spacious and well lit, with an interesting mix of trad and modern art. I still need to go back again, as I didn't get to spend as much time as I would like, and am pretty sure I didn't see everything.
It's a great way to spend an afternoon. The staff is polite and well informed, gift store is eclectic and fun.",8/25/2016 13:02
130,WEw6ymSk3N0LY4xLpvLWZg,ekO1FoeD8c9uqIQokBLCSQ,TKaND6oV1n2ylnCYoAfoag,5,0,0,0,"THE TACOS. I got pastor, asada, and chorizo. Authentic. Delicious. Nice topping bar with cilantro, limes, onions and sauces. The market itself is cool to walk around and get unique items as well.",3/17/2016 16:22
131,9I5wJ9ZG4wegRPS__Zq8gQ,QgbfaTwsjBksgUyJZA4P9A,j7TsOIl_pZm2wzs13-pRDQ,5,0,0,0,I really enjoyed my stay at this very reasonable hotel.  The rooms are very spacious and clean.  I really didn't expect to get a warm continental breakfast included at the price I paid for the room.,1/15/2016 21:12
132,aR81GkM3Q9kcJbPxbBnuYw,DZEClXcmhoTk2caP9gpl5w,bM3ARXFMxGrntnHS6a7vEQ,5,0,0,0,"I must have walked by this place a thousand times working on the square. Never knew what it was exactly. Came up in a search of ""Asian "" ? Amway, saw the reviews and walked over. The buffalo paninis with a side of black bean and corn salsa was very good. At $7 the price was fair, I think the yelp menu may be outdated. The desert case looked great and they have breakfast items also. There was a gift area too. Cool place and I'm far from vegan.",12/17/2014 18:04
134,Lx-ervsT1BqUL7OfW-Lb9A,IIE2OX5haarGNefY23R8BA,jM6JjZXFAQQANwdlEwbH3g,5,0,0,0,"My absolutely favorite mushroom pizza in the city, Great brunch spot - really reasonable and you can always get a table, because it's really big and has indoor and outdoor space.  I think the ice cream is homeade.  A neighbourhood favorite!",4/23/2016 3:32
135,641ca8i5v5RZK9IngojV2Q,xFSLb_pxXta5G4oaRB1ylQ,TspQ9jCczz436RiJHJQYZw,5,4,3,3,"Hands down, the BEST kabobs in Vegas. 

I stopped here late after work one night on the way home after having passed it at least a thousand times, and decided to give it a try. I went in, placed my order, and after about 15 minutes, was on my way home. 

The inside is cozy, there is a new hookah lounge upstairs (not technically the same business), for those who might be interested in that. The tables inside were pretty low key, but the kitchen area is open except for some glass, so you get to watch your food prepared while you wait which is always a nice touch. Some people don't like that, but I do, it forces restaurants to practice more hygienic practices because customers can see more. 

The young lady who rang me up was helpful and friendly. The gentleman who gave me my food, apologized for the wait (15 minutes is not long in my book, but maybe for some it is), and said that calling ahead is a great option if you're ever in a hurry in the future. 

I ordered a lamb and chicken shish kabob. They were both DELICIOUS. Many kabobs in this city are incredibly bland and under seasoned, definitely not the case here. The rice was also well flavored. The green sauce that was at the counter where you pick up your food was perfectly spiced and I put it on EVERYTHING! I appreciate the fresh lemon wedge that was included in my to-go container. 

My only real complaint was the price. It was more than $17 for two kabobs, which I thought was on the expensive side. If they took their prices down around $2, I'd be here way more often that is good for my wallet...",3/6/2016 23:58
136,Y_hUyMWEN6XjtKVXuoT8Qg,sA5W9l1szGmeAOWAzTDaew,RNi6tW22UMgHwWLAb0mYdA,5,0,0,0,"Lawry's is everything a good restaurant should be. We came here to celebrate our anniversary and Lawry's made our night unforgettable.

Their service was impeccable- from the sweet hostess who was unfazed when we arrived 30 minutes late to our reservation, to the warm friendly bartender who chatted us up like we were old friends, to the waiter who was not condescending in the least bit, to the busboys who guided me back to my table when I drunkenly stumbled into the kitchen.

The food was solid. The prime rib was balanced with just the perfect amount of richness and seasoning. I ordered a medium and it was a true medium- the edges were seasoned and done well while the interior was still a soft pink and juicy. My date loved the Yorkshire pudding, I wasn't really a fan, but it was airy and puffed up to perfection. The mushrooms were rich and earthy, the perfect accompaniment. The mashed potatoes were smooth, creamy, and deliciously well seasoned. No bland taters here.

All in all, we had a truly wonderful evening at Lawry's LV. We decided to skip dessert because we were stuffed and totally satisfied, so our waiter went the extra mile and boxed up a mini cake for us saying that we couldn't leave without something sweet on our anniversary (!!) Major points up for this, we were an intoxicated mess that night and he should've just shooed us out the door. I left with a huge smile on my face and a slightly renewed faith that there are still nice people in the world.",3/30/2012 8:28
137,mnHBGv8fv51kSszfS_SBSw,LmPxZshPCXBd4mrERDU8RA,atNpoWy_XrhT9EUIEP6azg,5,1,1,1,"I loved this place!!

First, my drink was delicious!  I ordered the bellini and it was definitely one of the best that I've ever had--kind of fizzy, but so good!

The bread and butter was hot and delicious!

I didn't LOVE the Field Salad, but it was okay.  But I did LOVE my steak and french fries!  When asked how I wanted my steak prepared, I said Medium.  The waiter suggested Medium Rare since it's a thin hanger steak.  I'm so glad he suggested that.  It was perfectly cooked for me!

And I would love to try the dessert one day!  Looks delicious as well!",8/3/2009 20:45
